model_name,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,is_best
RandomForest,0.9774812343619683,0.013365288156136867,0.9770388315170949,0.01563882469562733,0.9774812343619683,0.013365288156136867,0.9751582475666499,0.018241993972630002,False
XGBoost,0.9776480400333611,0.004073953208280177,0.9811835260007143,0.0035900754886700526,0.9776480400333611,0.004073953208280177,0.9787244844503832,0.003855329498237928,False
LightGBM,0.9873227689741452,0.0027736929354989013,0.9895148043044941,0.0022055522338732965,0.9873227689741452,0.0027736929354989013,0.9879067227377929,0.0025898615956267313,True
MLP,0.9334445371142618,0.010917810289877285,0.8887917420992956,0.027215249628204836,0.9334445371142618,0.010917810289877285,0.9079511939962049,0.018207110434946036,False
